"","Wooliver_ITS_1A10_Beever240927_S237","Wooliver_ITS_1A6_Beever240927_S205","Wooliver_ITS_1A7_Beever240927_S213","Wooliver_ITS_1A8_Beever240927_S221","Wooliver_ITS_1A9_Beever240927_S229","Wooliver_ITS_1B10_Beever240927_S238","Wooliver_ITS_1B6_Beever240927_S206","Wooliver_ITS_1B7_Beever240927_S214","Wooliver_ITS_1B8_Beever240927_S222","Wooliver_ITS_1B9_Beever240927_S230","Wooliver_ITS_1C10_Beever240927_S239","Wooliver_ITS_1C6_Beever240927_S207","Wooliver_ITS_1C7_Beever240927_S215","Wooliver_ITS_1C8_Beever240927_S223","Wooliver_ITS_1C9_Beever240927_S231","Wooliver_ITS_1D10_Beever240927_S240","Wooliver_ITS_1D6_Beever240927_S208","Wooliver_ITS_1D7_Beever240927_S216","Wooliver_ITS_1D8_Beever240927_S224","Wooliver_ITS_1D9_Beever240927_S232","Wooliver_ITS_1E10_Beever240927_S241","Wooliver_ITS_1E6_Beever240927_S209","Wooliver_ITS_1E7_Beever240927_S217","Wooliver_ITS_1E8_Beever240927_S225","Wooliver_ITS_1E9_Beever240927_S233","Wooliver_ITS_1F10_Beever240927_S242","Wooliver_ITS_1F6_Beever240927_S210","Wooliver_ITS_1F7_Beever240927_S218","Wooliver_ITS_1F8_Beever240927_S226","Wooliver_ITS_1F9_Beever240927_S234","Wooliver_ITS_1G10_Beever240927_S243","Wooliver_ITS_1G6_Beever240927_S211","Wooliver_ITS_1G7_Beever240927_S219","Wooliver_ITS_1G8_Beever240927_S227","Wooliver_ITS_1G9_Beever240927_S235","Wooliver_ITS_1H10_Beever240927_S244","Wooliver_ITS_1H6_Beever240927_S212","Wooliver_ITS_1H7_Beever240927_S220","Wooliver_ITS_1H8_Beever240927_S228","Wooliver_ITS_1H9_Beever240927_S236","Wooliver_ITS_2A4_Beever240927_S285","Wooliver_ITS_2A5_Beever240927_S293","Wooliver_ITS_2A6_Beever240927_S301","Wooliver_ITS_2A7_Beever240927_S309","Wooliver_ITS_2A8_Beever240927_S317","Wooliver_ITS_2B4_Beever240927_S286","Wooliver_ITS_2B5_Beever240927_S294","Wooliver_ITS_2B6_Beever240927_S302","Wooliver_ITS_2B7_Beever240927_S310","Wooliver_ITS_2B8_Beever240927_S318","Wooliver_ITS_2C4_Beever240927_S287","Wooliver_ITS_2C5_Beever240927_S295","Wooliver_ITS_2C6_Beever240927_S303","Wooliver_ITS_2C7_Beever240927_S311","Wooliver_ITS_2C8_Beever240927_S319","Wooliver_ITS_2D4_Beever240927_S288","Wooliver_ITS_2D5_Beever240927_S296","Wooliver_ITS_2D6_Beever240927_S304","Wooliver_ITS_2D7_Beever240927_S312","Wooliver_ITS_2D8_Beever240927_S320","Wooliver_ITS_2E4_Beever240927_S289","Wooliver_ITS_2E5_Beever240927_S297","Wooliver_ITS_2E6_Beever240927_S305","Wooliver_ITS_2E7_Beever240927_S313","Wooliver_ITS_2E8_Beever240927_S321","Wooliver_ITS_2F4_Beever240927_S290","Wooliver_ITS_2F5_Beever240927_S298","Wooliver_ITS_2F6_Beever240927_S306","Wooliver_ITS_2F7_Beever240927_S314","Wooliver_ITS_2F8_Beever240927_S322","Wooliver_ITS_2G4_Beever240927_S291","Wooliver_ITS_2G5_Beever240927_S299","Wooliver_ITS_2G6_Beever240927_S307","Wooliver_ITS_2G7_Beever240927_S315","Wooliver_ITS_2G8_Beever240927_S323","Wooliver_ITS_2H4_Beever240927_S292","Wooliver_ITS_2H5_Beever240927_S300","Wooliver_ITS_2H6_Beever240927_S308","Wooliver_ITS_2H7_Beever240927_S316","Wooliver_ITS_2H8_Beever240927_S324"
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Stachylidium|s__bicolor|t__animal_parasite",116,185,252,1038,373,164,693,476,113,184,289,105,133,246,1381,149,187,1802,238,98,825,364,94,132,233,97,155,169,1309,359,151,1101,273,115,179,305,57,164,197,838,150,146,987,538,124,1110,356,125,183,179,161,123,218,1186,532,180,993,457,164,208,266,78,256,259,1242,126,136,1150,385,195,825,304,125,145,155,124,205,148,759,307
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Verticillium|s__dahliae|t__plant_pathogen",89,163,172,461,149,150,382,217,105,156,155,67,105,169,567,49,100,802,124,141,312,177,55,100,139,80,127,107,509,187,135,415,153,94,156,164,77,140,142,272,138,122,314,247,116,367,158,145,138,126,153,81,181,518,247,127,374,290,129,224,138,61,186,187,613,145,104,550,218,123,355,171,78,207,50,106,120,94,287,199
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Metacordyceps|s__chlamydosporia|t__animal_parasite",4,0,88,593,32,11,129,44,19,40,55,4,0,7,186,17,29,116,22,0,312,238,8,11,24,12,10,9,91,70,9,156,34,0,22,42,17,15,33,109,106,35,109,39,22,149,55,1,19,20,0,12,161,86,606,15,7490,112,7,25,31,0,29,30,237,14,5,282,56,70,56,43,6,9,4,0,25,31,67,27
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__spirale|t__mycoparasite",35,0,36,0,383,40,67,167,0,60,82,0,0,107,69,10,85,0,296,0,0,367,19,0,80,0,0,20,0,254,0,36,300,0,101,142,0,0,96,0,73,0,41,278,0,154,67,0,0,37,0,0,44,0,347,0,38,74,0,48,57,11,0,0,0,19,20,12,348,0,0,59,0,0,27,21,32,0,0,401
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Trichoderma|s__tomentosum|t__mycoparasite",0,0,0,31,233,0,53,1364,0,0,234,16,0,0,174,18,0,210,510,0,0,219,0,0,0,0,0,17,95,232,63,132,259,0,0,260,0,20,0,95,0,26,94,280,0,54,332,0,0,0,12,0,30,123,161,0,238,362,0,0,343,12,47,66,128,18,0,169,135,0,66,36,0,0,0,18,44,13,69,226
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreales_fam_Incertae_sedis|g__Acremonium|s__persicinum|t__unspecified_saprotroph",2,1,5,330,41,0,221,41,6,2,30,0,0,30,411,1,7,460,10,0,287,1,0,0,6,0,0,17,248,40,4,472,23,5,0,35,0,8,10,347,0,5,284,12,0,451,29,0,0,14,0,0,8,371,34,30,368,55,5,8,7,0,21,19,535,7,6,389,56,21,296,27,4,4,0,4,0,21,178,23
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__equiseti|t__plant_pathogen",1183,2116,1837,242,1997,1713,327,1447,1972,3012,2299,1654,1767,1823,289,1980,2590,538,1121,1638,265,1812,1575,1706,1769,2198,2162,1056,139,1148,1147,229,1312,1905,1950,1653,2860,1868,1774,180,1704,1511,248,2018,2677,204,1479,1846,3809,1585,1841,1771,1553,217,2463,2115,220,1849,2919,3128,2309,1194,3865,3403,329,2708,1449,319,1958,1968,229,1821,2401,3149,1395,2709,3055,2164,162,1576
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__fujikuroi|t__plant_pathogen",413,1055,770,125,716,719,71,600,734,1232,949,555,1027,1019,85,858,993,144,550,689,1322,645,442,791,732,899,927,821,72,574,541,0,732,763,983,465,687,970,1393,92,907,614,151,1039,777,108,529,661,1424,1066,1004,766,1117,129,756,756,86,762,884,1142,589,572,1553,1236,103,1115,642,108,954,742,62,847,754,1393,456,677,1511,775,79,719
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__sporotrichioides|t__plant_pathogen",754,1528,1311,124,2877,1058,152,1214,1512,1049,2160,1244,1162,1116,155,953,1686,230,1185,1202,208,2860,969,823,1630,1446,924,823,107,1168,997,173,1700,1318,1285,1248,1505,1110,1650,204,1293,923,215,2103,1660,193,1669,1221,1538,1211,1659,950,1210,293,2137,1663,149,2007,2806,1672,2371,757,1985,1851,254,1153,778,233,1782,1352,165,2085,1656,1297,1010,1668,1919,1250,108,1581
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__virguliforme|t__plant_pathogen",85,120,111,262,222,104,282,230,62,94,149,70,73,122,444,77,142,435,168,63,293,282,75,113,105,32,96,127,421,153,109,424,171,56,97,172,57,92,140,254,185,112,374,208,95,364,209,64,148,88,116,106,185,348,242,101,341,168,68,102,212,17,103,207,547,130,59,307,215,74,205,227,80,215,119,92,116,92,267,139
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|t__plant_pathogen",2681,5838,3498,609,3437,3414,499,2564,4210,7184,3440,3248,6967,4165,751,5079,4304,835,2575,3806,3011,2906,2737,4597,3866,3867,5534,3542,511,2712,3038,862,2835,3906,6560,2575,3845,5185,6179,588,6005,2441,1547,4399,4221,1487,2246,4506,8874,4966,4391,6263,4735,616,3805,3426,679,3041,5043,7173,2992,2973,11078,6124,731,5681,2932,475,3901,3230,415,3535,3627,9321,2687,3877,10347,3651,473,2511
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Neocosmospora|s__rubicola|t__soil_saprotroph",311,955,378,112,448,607,109,379,503,972,809,506,1034,506,167,921,657,136,446,437,160,524,489,663,725,592,735,692,46,424,537,114,373,750,899,396,610,857,812,97,1013,381,67,739,814,82,388,573,1304,882,595,940,460,110,619,643,133,391,614,1148,510,627,1959,964,122,771,337,78,489,412,61,496,650,1379,468,485,1343,521,52,289
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Niessliaceae|g__Eucasphaeria|t__plant_pathogen",62,12,56,15,260,65,18,669,7,0,1011,0,4,0,51,0,2,13,622,3,29,460,0,0,13,0,0,0,28,408,0,32,466,10,9,76,0,0,7,17,0,106,47,719,0,27,272,0,3,154,0,0,5,29,1609,123,36,248,5,4,248,0,0,14,61,0,5,28,272,0,25,58,2,0,5,8,5,0,9,552
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",283,240,538,49,0,1388,34,108,844,244,80,121,408,173,36,425,203,37,203,284,0,48,259,199,168,187,649,160,0,71,67,18,17,447,445,161,328,317,66,4,168,177,78,27,264,34,10,332,373,259,567,407,1058,91,13,701,20,69,652,911,9,154,1102,192,82,413,148,44,42,271,53,0,1519,733,158,1164,541,57,25,295
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|t__NA",28,91,75,311,255,28,205,161,49,36,138,28,31,74,396,19,77,362,80,56,308,87,7,25,72,26,70,34,217,68,35,475,107,27,66,98,18,70,76,335,35,97,288,166,27,252,122,14,73,85,46,32,126,583,138,52,297,264,86,103,24,6,43,70,653,39,46,389,191,48,288,131,1,56,31,18,68,84,212,81
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Phomatosporales|f__Phomatosporaceae|t__NA",0,0,4,154,0,0,182,15,0,0,4,0,0,7,292,0,0,302,7,0,178,0,0,0,0,0,0,4,134,0,0,213,2,0,0,17,0,0,0,213,5,0,220,21,0,194,12,0,0,0,2,0,0,292,21,0,227,0,0,0,4,0,4,0,344,0,0,257,27,0,186,4,3,0,0,0,0,0,176,16
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",473,1340,1506,65,402,921,147,542,1314,912,570,1130,857,1211,0,1139,1355,127,440,1023,0,575,813,830,1350,1024,1506,980,23,342,1131,73,631,1135,1378,359,686,1166,919,162,955,955,156,555,913,250,457,1831,1468,1264,919,827,1226,124,646,1496,66,570,1300,1446,552,803,1847,1221,154,1162,1098,41,744,1155,23,682,1081,1298,1086,1198,1240,840,56,633
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",2507,4428,2605,248,1071,2443,0,1083,4131,3203,1287,3413,3081,2781,122,3706,2485,302,1924,4243,145,1556,2591,2750,3233,3562,3407,3163,23,4045,2749,230,2003,3429,4532,1159,2065,4166,2898,42,4309,1407,103,2557,3059,115,1526,3503,5664,3797,2614,2993,3358,235,2071,2750,59,1616,5509,2697,952,2941,4389,5116,247,2735,2667,223,3407,2460,118,2076,3918,4089,1863,2709,4268,3840,155,2009
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",23850,25164,32590,616,13625,27780,397,10203,33660,25896,20215,28214,21513,37752,739,24102,32540,1045,18547,29742,1008,12720,22887,19488,35776,30514,26417,26297,469,13469,29216,597,18133,31420,27037,12439,24294,22844,32931,419,19124,24988,599,22406,32891,716,12151,43032,26489,41320,30451,22854,35950,682,24770,34644,617,17821,37704,33328,14443,24442,33369,40712,1037,21424,26219,629,22878,33341,570,17450,25793,30987,26912,25394,32572,24971,757,16568
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",7825,7771,10541,203,4429,8920,158,3143,10792,8523,6404,8865,6753,11816,299,7858,10615,293,5712,9564,417,4073,7543,5976,11424,9926,8310,8541,184,4351,8519,205,5537,9920,8655,4157,7650,7360,10943,89,6383,7726,166,7148,10279,220,3737,13088,8494,12797,9544,6999,10931,289,7596,10586,214,5607,11666,10482,4365,7725,10183,12318,341,6845,7880,197,7113,10222,193,5144,8052,9750,8481,7816,10251,7755,260,5057
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae|g__Schizothecium|t__dung_saprotroph",19,25,323,47,149,137,124,433,27,35,206,34,13,294,298,42,147,169,426,43,96,226,36,7,397,8,84,63,52,129,97,204,545,269,55,232,29,11,329,116,7,171,119,553,76,126,896,54,11,119,65,32,75,233,283,246,128,301,49,32,470,11,17,427,244,28,60,63,1023,32,97,189,16,70,392,35,20,143,104,274
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Naviculisporaceae|g__Pseudorhypophila|s__marina|t__NA",131,50,359,71,3096,360,48,3556,90,0,2901,108,0,545,112,0,473,75,1834,48,0,3474,61,27,619,110,0,412,0,2573,690,28,3117,35,0,2905,57,2,434,0,0,471,0,5078,47,37,2621,82,0,756,62,0,805,0,3840,1060,0,2382,72,0,2298,62,87,840,202,0,553,0,3674,76,20,3003,106,87,394,64,0,533,0,1011
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Papulaspora|s__byssina|t__wood_saprotroph",0,15,67,783,607,65,912,99,11,22,492,10,13,50,413,26,42,179,1426,4,345,296,3,3,29,17,2,155,350,167,0,141,279,26,15,566,13,25,15,148,5,18,124,1369,31,721,583,2,27,40,17,12,25,209,313,25,161,549,19,12,161,11,9,46,650,43,0,183,252,5,17,860,2,0,13,0,25,13,395,13
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Staphylotrichum|s__acaciicola|t__soil_saprotroph",3916,7900,6185,307,4447,4638,233,3352,5964,4531,5001,4115,4571,7098,441,3909,6299,493,3942,5549,309,3913,3837,3978,6943,4513,4288,5943,272,4293,5086,278,4605,5157,5533,3937,3637,4605,6698,186,6369,4468,364,7065,5214,353,3122,6200,5105,7470,4046,4018,7204,327,6223,5779,329,4341,6967,5183,3408,3833,8139,10105,670,3130,4725,410,6889,5208,265,4820,4813,5255,4561,3837,4805,7860,305,4591
"k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|t__NA",39,38,188,188,189,66,97,638,23,21,221,21,17,354,142,28,113,170,177,30,427,217,11,24,192,34,6,51,73,388,166,87,90,16,22,198,66,24,360,95,3,273,172,184,77,238,243,103,5,100,67,30,183,230,356,217,138,122,48,112,121,10,29,336,219,31,89,141,1138,9,153,392,7,19,83,39,40,129,58,304
"k__Fungi|p__Ascomycota|t__NA",2,48,29,369,82,26,207,180,14,32,102,18,12,41,385,23,47,401,97,2,314,145,13,15,43,3,19,11,442,75,49,339,84,12,34,104,9,21,43,185,38,37,198,94,11,251,36,28,15,30,32,22,83,584,122,29,241,111,35,47,65,11,48,45,471,29,83,363,108,5,152,92,10,21,24,17,62,50,295,44
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Omphalotaceae|g__Marasmiellus|s__paspali|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4359,0,0,0,0,0
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Psathyrellaceae|g__Parasola|t__soil_saprotroph",0,0,0,0,436,0,0,280,0,0,384,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,508,0,47,458,0,0,0,0,0,0,0,0,0,0,746,0,0,248,0,0,0,0,0,0,0,359,0,0,0,0,0,407,0,0,0,0,0,0,17,29,0,69,424,0,0,0,116,0,3,9,7
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Minimedusa|s__polyspora|t__lichen_parasite",15,0,275,0,3591,476,0,923,0,0,1546,40,0,143,0,0,70,0,2055,13,0,1281,0,0,157,39,0,0,0,1725,391,0,980,33,2,860,0,0,102,0,0,224,0,5280,0,0,1009,6,0,1020,0,0,178,0,1129,645,96,1107,14,34,363,28,0,119,0,52,141,0,1113,0,0,2258,0,26,323,0,0,2,0,537
"k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Hydnaceae|g__Sistotrema|s__coronilla|t__litter_saprotroph",0,0,363,0,2597,0,0,3160,0,0,284,16,0,0,0,0,0,0,8117,0,0,2758,0,0,473,0,0,0,150,3487,217,0,1269,0,0,3431,0,0,0,0,0,0,0,724,0,0,2514,0,0,0,0,0,0,0,2988,0,0,4513,0,0,2256,0,0,0,0,0,0,498,2055,0,0,1927,0,0,0,0,0,298,0,1685
"k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Ustilago|s__maydis|t__plant_pathogen",8,14,8,445,16,19,334,0,6,33,2,8,4,4,536,7,0,740,3,0,295,29,29,0,14,33,0,14,305,0,0,637,0,18,0,5,0,6,20,382,0,21,440,23,14,349,12,5,16,14,0,5,3,495,4,4,335,6,10,5,12,0,34,14,637,35,0,254,144,0,348,9,93,8,2,3,22,4,220,29
