"","Wooliver_ITS_1A10_Beever240927_S237","Wooliver_ITS_1A6_Beever240927_S205","Wooliver_ITS_1A7_Beever240927_S213","Wooliver_ITS_1A8_Beever240927_S221","Wooliver_ITS_1A9_Beever240927_S229","Wooliver_ITS_1B10_Beever240927_S238","Wooliver_ITS_1B6_Beever240927_S206","Wooliver_ITS_1B7_Beever240927_S214","Wooliver_ITS_1B8_Beever240927_S222","Wooliver_ITS_1B9_Beever240927_S230","Wooliver_ITS_1C10_Beever240927_S239","Wooliver_ITS_1C6_Beever240927_S207","Wooliver_ITS_1C7_Beever240927_S215","Wooliver_ITS_1C8_Beever240927_S223","Wooliver_ITS_1C9_Beever240927_S231","Wooliver_ITS_1D10_Beever240927_S240","Wooliver_ITS_1D6_Beever240927_S208","Wooliver_ITS_1D7_Beever240927_S216","Wooliver_ITS_1D8_Beever240927_S224","Wooliver_ITS_1D9_Beever240927_S232","Wooliver_ITS_1E10_Beever240927_S241","Wooliver_ITS_1E6_Beever240927_S209","Wooliver_ITS_1E7_Beever240927_S217","Wooliver_ITS_1E8_Beever240927_S225","Wooliver_ITS_1E9_Beever240927_S233","Wooliver_ITS_1F10_Beever240927_S242","Wooliver_ITS_1F6_Beever240927_S210","Wooliver_ITS_1F7_Beever240927_S218","Wooliver_ITS_1F8_Beever240927_S226","Wooliver_ITS_1F9_Beever240927_S234","Wooliver_ITS_1G10_Beever240927_S243","Wooliver_ITS_1G6_Beever240927_S211","Wooliver_ITS_1G7_Beever240927_S219","Wooliver_ITS_1G8_Beever240927_S227","Wooliver_ITS_1G9_Beever240927_S235","Wooliver_ITS_1H10_Beever240927_S244","Wooliver_ITS_1H6_Beever240927_S212","Wooliver_ITS_1H7_Beever240927_S220","Wooliver_ITS_1H8_Beever240927_S228","Wooliver_ITS_1H9_Beever240927_S236","Wooliver_ITS_2A4_Beever240927_S285","Wooliver_ITS_2A5_Beever240927_S293","Wooliver_ITS_2A6_Beever240927_S301","Wooliver_ITS_2A7_Beever240927_S309","Wooliver_ITS_2A8_Beever240927_S317","Wooliver_ITS_2B4_Beever240927_S286","Wooliver_ITS_2B5_Beever240927_S294","Wooliver_ITS_2B6_Beever240927_S302","Wooliver_ITS_2B7_Beever240927_S310","Wooliver_ITS_2B8_Beever240927_S318","Wooliver_ITS_2C4_Beever240927_S287","Wooliver_ITS_2C5_Beever240927_S295","Wooliver_ITS_2C6_Beever240927_S303","Wooliver_ITS_2C7_Beever240927_S311","Wooliver_ITS_2C8_Beever240927_S319","Wooliver_ITS_2D4_Beever240927_S288","Wooliver_ITS_2D5_Beever240927_S296","Wooliver_ITS_2D6_Beever240927_S304","Wooliver_ITS_2D7_Beever240927_S312","Wooliver_ITS_2D8_Beever240927_S320","Wooliver_ITS_2E4_Beever240927_S289","Wooliver_ITS_2E5_Beever240927_S297","Wooliver_ITS_2E6_Beever240927_S305","Wooliver_ITS_2E7_Beever240927_S313","Wooliver_ITS_2E8_Beever240927_S321","Wooliver_ITS_2F4_Beever240927_S290","Wooliver_ITS_2F5_Beever240927_S298","Wooliver_ITS_2F6_Beever240927_S306","Wooliver_ITS_2F7_Beever240927_S314","Wooliver_ITS_2F8_Beever240927_S322","Wooliver_ITS_2G4_Beever240927_S291","Wooliver_ITS_2G5_Beever240927_S299","Wooliver_ITS_2G6_Beever240927_S307","Wooliver_ITS_2G7_Beever240927_S315","Wooliver_ITS_2G8_Beever240927_S323","Wooliver_ITS_2H4_Beever240927_S292","Wooliver_ITS_2H5_Beever240927_S300","Wooliver_ITS_2H6_Beever240927_S308","Wooliver_ITS_2H7_Beever240927_S316","Wooliver_ITS_2H8_Beever240927_S324"
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Passalora|s__fusimaculans|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Septoria|s__ekmaniana|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Septoria|s__glycinicola|t__plant_pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Septoria|s__oenanthicola|t__plant_pathogen",0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Septoria|t__plant_pathogen",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,5,0,0,0,23,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|t__NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Teratosphaeriaceae|g__Penidiellomyces|s__aggregatus|t__epiphyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|t__NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mytilinidiales|f__Mytilinidiaceae|g__Mytilinidion|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Acrocalymmaceae|g__Acrocalymma|s__ampeli|t__wood_saprotroph",0,5,2,8,0,0,10,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16,4,0,11,11,0,0,5,0,3,0,0,0,0,9,3,0,7,3,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Acrocalymmaceae|g__Acrocalymma|s__pterocarpi|t__wood_saprotroph",6,0,6,9,4,0,23,24,0,10,0,3,3,2,19,0,15,24,0,0,29,2,0,0,12,2,0,3,26,7,0,19,0,0,0,0,0,0,0,2,0,0,19,3,0,16,0,0,0,0,0,0,8,24,2,0,36,10,0,0,0,0,0,0,9,6,0,8,12,0,11,4,0,0,0,0,0,3,8,6
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Acrocalymmaceae|g__Acrocalymma|t__wood_saprotroph",0,0,3,6,0,0,22,14,0,0,11,0,0,3,13,0,0,37,3,0,20,17,0,4,0,0,2,0,28,0,0,22,7,0,0,6,0,0,0,12,0,7,23,10,0,9,6,0,0,0,0,4,0,23,12,3,19,0,0,0,0,0,0,0,35,4,0,13,0,0,13,10,0,3,0,4,4,0,10,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Amniculicolaceae|g__Murispora|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Amorosiaceae|g__Amorocoelophoma|s__cassiae|t__litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Bambusicolaceae|g__Corylicola|s__italica|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Biatriosporaceae|g__Biatriospora|t__wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Coniothyriaceae|g__Coniothyrium|s__palmicola|t__plant_pathogen",0,0,2,12,2,0,2,3,0,4,6,0,0,5,16,0,0,37,5,2,8,0,0,2,6,0,0,0,23,4,2,20,0,3,4,2,0,2,0,20,21,2,17,8,0,36,2,0,0,4,0,4,0,27,10,2,8,0,0,0,3,0,3,0,19,0,0,51,6,0,10,7,0,7,6,0,35,6,25,6
