Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,Time,Date,WHC,
42,Ambient,CLOV,R2,G-50,T90,1,5/22/23,45.95491617,
43,Ambient,CLOV,R2,G-00,T1,1,5/22/23,45.92060089,
44,Ambient,CLOV,R2,G-00,T90,1,5/22/23,45.94814977,
45,Ambient,NONE,R2,G-50,T1,1,5/22/23,45.50930094,
46,Ambient,NONE,R2,G-50,T90,1,5/22/23,45.47933549,
47,Ambient,NONE,R2,G-00,T1,1,5/22/23,45.56971515,
48,Ambient,NONE,R2,G-00,T90,1,5/22/23,45.59388083,
49,Ambient,SHMX,R2,G-50,T1,1,5/22/23,45.94476658,
50,Ambient,SHMX,R2,G-50,T90,1,5/22/23,46.00421416,
51,Ambient,SHMX,R2,G-00,T1,1,5/22/23,45.99116469,
52,Ambient,SHMX,R2,G-00,T90,1,5/22/23,45.82248821,
53,Ambient,WHCL,R2,G-50,T1,1,5/22/23,45.93316705,
54,Ambient,WHCL,R2,G-50,T90,1,5/22/23,45.91770101,
55,Ambient,WHCL,R2,G-00,T1,1,5/22/23,45.93993344,
56,Ambient,WHCL,R2,G-00,T90,1,5/22/23,46.03852944,
57,Ambient,WHEA,R2,G-50,T1,1,5/22/23,46.10957655,
58,Ambient,WHEA,R2,G-50,T90,1,5/22/23,46.13180898,
59,Ambient,WHEA,R2,G-00,T1,1,5/22/23,46.15259147,
60,Ambient,WHEA,R2,G-00,T90,1,5/22/23,46.139542,
61,Drought,CLOV,R2,G-50,T1,1,5/22/23,46.05206222,
62,Drought,CLOV,R2,G-50,T90,1,5/22/23,46.00324754,
63,Drought,CLOV,R2,G-00,T1,1,5/22/23,46.08106104,
64,Drought,CLOV,R2,G-00,T90,1,5/22/23,46.0230634,
65,Drought,NONE,R2,G-50,T1,1,5/22/23,45.89160207,
66,Drought,NONE,R2,G-50,T90,1,5/22/23,45.93558362,
67,Drought,NONE,R2,G-00,T1,1,5/22/23,45.89208539,
68,Drought,NONE,R2,G-00,T90,1,5/22/23,45.90803474,
69,Drought,SHMX,R2,G-50,T1,1,5/22/23,46.13760874,
70,Drought,SHMX,R2,G-50,T90,1,5/22/23,46.20285609,
71,Drought,SHMX,R2,G-00,T1,1,5/22/23,46.14292519,
72,Drought,SHMX,R2,G-00,T90,1,5/22/23,46.11102649,
73,Drought,WHCL,R2,G-50,T1,1,5/22/23,46.18304023,
74,Drought,WHCL,R2,G-50,T90,1,5/22/23,46.22847172,
75,Drought,WHCL,R2,G-00,T1,1,5/22/23,46.20382272,
76,Drought,WHCL,R2,G-00,T90,1,5/22/23,46.16564094,
77,Drought,WHEA,R2,G-50,T1,1,5/22/23,46.05931192,
78,Drought,WHEA,R2,G-50,T90,1,5/22/23,46.01194718,
79,Drought,WHEA,R2,G-00,T1,1,5/22/23,46.11682625,
80,Drought,WHEA,R2,G-00,T90,1,5/22/23,46.06027855,
81,Ambient,CLOV,R3,G-50,T1,1,5/22/23,45.9384835,
82,Ambient,CLOV,R3,G-50,T90,1,5/22/23,46.01678032,
83,Ambient,CLOV,R3,G-00,T1,1,5/22/23,46.09749371,
84,Ambient,CLOV,R3,G-00,T90,1,5/22/23,46.08589418,
85,Ambient,NONE,R3,G-50,T1,1,5/22/23,45.67072771,
86,Ambient,NONE,R3,G-50,T90,1,5/22/23,45.97908185,
87,Ambient,NONE,R3,G-00,T1,1,5/22/23,46.0303131,
88,Ambient,NONE,R3,G-00,T90,1,5/22/23,46.03079642,
89,Ambient,SHMX,R3,G-50,T1,1,5/22/23,46.05012896,
90,Ambient,SHMX,R3,G-50,T90,1,5/22/23,46.09411051,
91,Ambient,SHMX,R3,G-00,T1,1,5/22/23,46.29806889,
92,Ambient,SHMX,R3,G-00,T90,1,5/22/23,46.27776971,
93,Ambient,WHCL,R3,G-50,T1,1,5/22/23,46.19028994,
94,Ambient,WHCL,R3,G-50,T90,1,5/22/23,46.28163622,
95,Ambient,WHCL,R3,G-00,T1,1,5/22/23,46.28985256,
96,Ambient,WHCL,R3,G-00,T90,1,5/22/23,46.33238416,
97,Ambient,WHEA,R3,G-50,T1,1,5/22/23,46.0796111,
98,Ambient,WHEA,R3,G-50,T90,1,5/22/23,46.22992166,
99,Ambient,WHEA,R3,G-00,T1,1,5/22/23,46.2632703,
100,Ambient,WHEA,R3,G-00,T90,1,5/22/23,46.26617019,
101,Drought,CLOV,R3,G-50,T1,1,5/22/23,45.93751687,
102,Drought,CLOV,R3,G-50,T90,1,5/22/23,45.91866764,
103,Drought,CLOV,R3,G-00,T1,1,5/22/23,45.94090007,
104,Drought,CLOV,R3,G-00,T90,1,5/22/23,45.96361581,
105,Drought,NONE,R3,G-50,T1,1,5/22/23,45.80702217,
106,Drought,NONE,R3,G-50,T90,1,5/22/23,45.83747094,
107,Drought,NONE,R3,G-00,T1,1,5/22/23,45.83988751,
108,Drought,NONE,R3,G-00,T90,1,5/22/23,45.95878268,
109,Drought,SHMX,R3,G-50,T1,1,5/22/23,46.09217726,
110,Drought,SHMX,R3,G-50,T90,1,5/22/23,45.72727541,
111,Drought,SHMX,R3,G-00,T1,1,5/22/23,46.09604376,
112,Drought,SHMX,R3,G-00,T90,1,5/22/23,46.15645798,
113,Drought,WHCL,R3,G-50,T1,1,5/22/23,46.05109559,
114,Drought,WHCL,R3,G-50,T90,1,5/22/23,46.16902413,
115,Drought,WHCL,R3,G-00,T1,1,5/22/23,46.22412189,
116,Drought,WHCL,R3,G-00,T90,1,5/22/23,46.15162484,
117,Drought,WHEA,R3,G-50,T1,1,5/22/23,46.18159029,
118,Drought,WHEA,R3,G-50,T90,1,5/22/23,46.20430603,
119,Drought,WHEA,R3,G-00,T1,1,5/22/23,45.84617058,
120,Drought,WHEA,R3,G-00,T90,1,5/22/23,46.13760874,
121,Ambient,CLOV,R4,G-50,T1,1,5/22/23,46.05592873,
122,Ambient,CLOV,R4,G-50,T90,1,5/22/23,46.15259147,
123,Ambient,CLOV,R4,G-00,T1,1,5/22/23,46.15259147,
124,Ambient,CLOV,R4,G-00,T90,1,5/22/23,46.05592873,
125,Ambient,NONE,R4,G-50,T1,1,5/22/23,46.01146387,
126,Ambient,NONE,R4,G-50,T90,1,5/22/23,45.9631325,
127,Ambient,NONE,R4,G-00,T1,1,5/22/23,46.01146387,
128,Ambient,NONE,R4,G-00,T90,1,5/22/23,45.91480113,
129,Ambient,SHMX,R4,G-50,T1,1,5/22/23,46.20382272,
130,Ambient,SHMX,R4,G-50,T90,1,5/22/23,46.25215409,
131,Ambient,SHMX,R4,G-00,T1,1,5/22/23,46.25215409,
132,Ambient,SHMX,R4,G-00,T90,1,5/22/23,46.15549135,
133,Ambient,WHCL,R4,G-50,T1,1,5/22/23,46.24828758,
134,Ambient,WHCL,R4,G-50,T90,1,5/22/23,46.34495032,
135,Ambient,WHCL,R4,G-00,T1,1,5/22/23,46.29661895,
136,Ambient,WHCL,R4,G-00,T90,1,5/22/23,46.24828758,
137,Ambient,WHEA,R4,G-50,T1,1,5/22/23,46.22992166,
138,Ambient,WHEA,R4,G-50,T90,1,5/22/23,46.18159029,
139,Ambient,WHEA,R4,G-00,T1,1,5/22/23,46.22992166,
140,Ambient,WHEA,R4,G-00,T90,1,5/22/23,46.18159029,
141,Drought,CLOV,R4,G-50,T1,1,5/22/23,46.1042601,
142,Drought,CLOV,R4,G-50,T90,1,5/22/23,46.15259147,
143,Drought,CLOV,R4,G-00,T1,1,5/22/23,46.1042601,
144,Drought,CLOV,R4,G-00,T90,1,5/22/23,46.05592873,
145,Drought,NONE,R4,G-50,T1,1,5/22/23,45.9631325,
146,Drought,NONE,R4,G-50,T90,1,5/22/23,46.01146387,
147,Drought,NONE,R4,G-00,T1,1,5/22/23,46.01146387,
148,Drought,NONE,R4,G-00,T90,1,5/22/23,45.91480113,
149,Drought,SHMX,R4,G-50,T1,1,5/22/23,46.05882861,
150,Drought,SHMX,R4,G-50,T90,1,5/22/23,46.20382272,
151,Drought,SHMX,R4,G-00,T1,1,5/22/23,46.25215409,
152,Drought,SHMX,R4,G-00,T90,1,5/22/23,46.25215409,
153,Drought,WHCL,R4,G-50,T1,1,5/22/23,46.19995621,
154,Drought,WHCL,R4,G-50,T90,1,5/22/23,46.19995621,
155,Drought,WHCL,R4,G-00,T1,1,5/22/23,45.86163662,
156,Drought,WHCL,R4,G-00,T90,1,5/22/23,46.24828758,
157,Drought,WHEA,R4,G-50,T1,1,5/22/23,46.13325892,
158,Drought,WHEA,R4,G-50,T90,1,5/22/23,46.18159029,
159,Drought,WHEA,R4,G-00,T1,1,5/22/23,46.22992166,
160,Drought,WHEA,R4,G-00,T90,1,5/22/23,46.18159029,
1,Ambient,CLOV,R1,G-50,T1,2,5/22/23,60.25434383,
2,Ambient,CLOV,R1,G-50,T90,2,5/22/23,59.81597831,
3,Ambient,CLOV,R1,G-00,T1,2,5/22/23,59.87300933,
4,Ambient,CLOV,R1,G-00,T90,2,5/22/23,60.05666853,
5,Ambient,NONE,R1,G-50,T1,2,5/22/23,60.01945338,
6,Ambient,NONE,R1,G-50,T90,2,5/22/23,59.8473937,
7,Ambient,NONE,R1,G-00,T1,2,5/22/23,60.04071918,
8,Ambient,NONE,R1,G-00,T90,2,5/22/23,60.09243374,
9,Ambient,SHMX,R1,G-50,T1,2,5/22/23,59.78190469,
10,Ambient,SHMX,R1,G-50,T90,2,5/22/23,59.9761968,
11,Ambient,SHMX,R1,G-00,T1,2,5/22/23,60.09509197,
12,Ambient,SHMX,R1,G-00,T90,2,5/22/23,60.14680654,
13,Ambient,WHCL,R1,G-50,T1,2,5/22/23,59.86793453,
14,Ambient,WHCL,R1,G-50,T90,2,5/22/23,60.04434403,
15,Ambient,WHCL,R1,G-00,T1,2,5/22/23,60.06126001,
16,Ambient,WHCL,R1,G-00,T90,2,5/22/23,60.02646142,
17,Ambient,WHEA,R1,G-50,T1,2,5/22/23,59.93136946,
18,Ambient,WHEA,R1,G-50,T90,2,5/22/23,59.91638673,
19,Ambient,WHEA,R1,G-00,T1,2,5/22/23,60.06428072,
20,Ambient,WHEA,R1,G-00,T90,2,5/22/23,60.08796309,
21,Drought,CLOV,R1,G-50,T1,2,5/22/23,59.9689471,
22,Drought,CLOV,R1,G-50,T90,2,5/22/23,59.97861337,
23,Drought,CLOV,R1,G-00,T1,2,5/22/23,60.00132911,
24,Drought,CLOV,R1,G-00,T90,2,5/22/23,60.05111042,
25,Drought,NONE,R1,G-50,T1,2,5/22/23,59.95094366,
26,Drought,NONE,R1,G-50,T90,2,5/22/23,59.97220946,
27,Drought,NONE,R1,G-00,T1,2,5/22/23,60.07418865,
28,Drought,NONE,R1,G-00,T90,2,5/22/23,60.00265823,
29,Drought,SHMX,R1,G-50,T1,2,5/22/23,59.9179575,
30,Drought,SHMX,R1,G-50,T90,2,5/22/23,59.97837171,
31,Drought,SHMX,R1,G-00,T1,2,5/22/23,60.05473528,
32,Drought,SHMX,R1,G-00,T90,2,5/22/23,60.04893551,
33,Drought,WHCL,R1,G-50,T1,2,5/22/23,59.96121408,
34,Drought,WHCL,R1,G-50,T90,2,5/22/23,59.96943041,
35,Drought,WHCL,R1,G-00,T1,2,5/22/23,60.03129456,
36,Drought,WHCL,R1,G-00,T90,2,5/22/23,60.03806095,
37,Drought,WHEA,R1,G-50,T1,2,5/22/23,59.86660542,
38,Drought,WHEA,R1,G-50,T90,2,5/22/23,59.99903337,
39,Drought,WHEA,R1,G-00,T1,2,5/22/23,60.1304947,
40,Drought,WHEA,R1,G-00,T90,2,5/22/23,60.00386651,
41,Ambient,CLOV,R2,G-50,T1,2,5/22/23,60.00990793,
42,Ambient,CLOV,R2,G-50,T90,2,5/22/23,60.01039124,
43,Ambient,CLOV,R2,G-00,T1,2,5/22/23,59.97607597,
44,Ambient,CLOV,R2,G-00,T90,2,5/22/23,60.00362485,
45,Ambient,NONE,R2,G-50,T1,2,5/22/23,59.97124284,
46,Ambient,NONE,R2,G-50,T90,2,5/22/23,59.94127739,
47,Ambient,NONE,R2,G-00,T1,2,5/22/23,60.03165705,
48,Ambient,NONE,R2,G-00,T90,2,5/22/23,60.05582273,
49,Ambient,SHMX,R2,G-50,T1,2,5/22/23,60.00410817,
50,Ambient,SHMX,R2,G-50,T90,2,5/22/23,60.06355575,
51,Ambient,SHMX,R2,G-00,T1,2,5/22/23,60.05050628,
52,Ambient,SHMX,R2,G-00,T90,2,5/22/23,59.8818298,
53,Ambient,WHCL,R2,G-50,T1,2,5/22/23,59.97583432,
54,Ambient,WHCL,R2,G-50,T90,2,5/22/23,59.96036828,
55,Ambient,WHCL,R2,G-00,T1,2,5/22/23,59.98260071,
56,Ambient,WHCL,R2,G-00,T90,2,5/22/23,60.0811967,
57,Ambient,WHEA,R2,G-50,T1,2,5/22/23,59.9761968,
58,Ambient,WHEA,R2,G-50,T90,2,5/22/23,59.99842923,
59,Ambient,WHEA,R2,G-00,T1,2,5/22/23,60.01921172,
60,Ambient,WHEA,R2,G-00,T90,2,5/22/23,60.00616225,
61,Drought,CLOV,R2,G-50,T1,2,5/22/23,60.01220367,
62,Drought,CLOV,R2,G-50,T90,2,5/22/23,59.96338899,
63,Drought,CLOV,R2,G-00,T1,2,5/22/23,60.04120249,
64,Drought,CLOV,R2,G-00,T90,2,5/22/23,59.98320485,
65,Drought,NONE,R2,G-50,T1,2,5/22/23,59.98477562,
66,Drought,NONE,R2,G-50,T90,2,5/22/23,60.02875716,
67,Drought,NONE,R2,G-00,T1,2,5/22/23,59.98525893,
68,Drought,NONE,R2,G-00,T90,2,5/22/23,60.00120828,
69,Drought,SHMX,R2,G-50,T1,2,5/22/23,59.98900461,
70,Drought,SHMX,R2,G-50,T90,2,5/22/23,60.05425196,
71,Drought,SHMX,R2,G-00,T1,2,5/22/23,59.99432106,
72,Drought,SHMX,R2,G-00,T90,2,5/22/23,59.96242236,
73,Drought,WHCL,R2,G-50,T1,2,5/22/23,59.98779633,
74,Drought,WHCL,R2,G-50,T90,2,5/22/23,60.03322782,
75,Drought,WHCL,R2,G-00,T1,2,5/22/23,60.00857882,
76,Drought,WHCL,R2,G-00,T90,2,5/22/23,59.97039704,
77,Drought,WHEA,R2,G-50,T1,2,5/22/23,59.99722095,
78,Drought,WHEA,R2,G-50,T90,2,5/22/23,59.9498562,
79,Drought,WHEA,R2,G-00,T1,2,5/22/23,60.05473528,
80,Drought,WHEA,R2,G-00,T90,2,5/22/23,59.99818757,
81,Ambient,CLOV,R3,G-50,T1,2,5/22/23,59.90382057,
82,Ambient,CLOV,R3,G-50,T90,2,5/22/23,59.98211739,
83,Ambient,CLOV,R3,G-00,T1,2,5/22/23,60.06283078,
84,Ambient,CLOV,R3,G-00,T90,2,5/22/23,60.05123125,
85,Ambient,NONE,R3,G-50,T1,2,5/22/23,59.74299794,
86,Ambient,NONE,R3,G-50,T90,2,5/22/23,60.05135208,
87,Ambient,NONE,R3,G-00,T1,2,5/22/23,60.10258333,
88,Ambient,NONE,R3,G-00,T90,2,5/22/23,60.10306665,
89,Ambient,SHMX,R3,G-50,T1,2,5/22/23,59.87010944,
90,Ambient,SHMX,R3,G-50,T90,2,5/22/23,59.91409099,
91,Ambient,SHMX,R3,G-00,T1,2,5/22/23,60.11804937,
92,Ambient,SHMX,R3,G-00,T90,2,5/22/23,60.0977502,
93,Ambient,WHCL,R3,G-50,T1,2,5/22/23,59.91674922,
94,Ambient,WHCL,R3,G-50,T90,2,5/22/23,60.0080955,
95,Ambient,WHCL,R3,G-00,T1,2,5/22/23,60.01631184,
96,Ambient,WHCL,R3,G-00,T90,2,5/22/23,60.05884344,
97,Ambient,WHEA,R3,G-50,T1,2,5/22/23,59.86986779,
98,Ambient,WHEA,R3,G-50,T90,2,5/22/23,60.02017835,
99,Ambient,WHEA,R3,G-00,T1,2,5/22/23,60.05352699,
100,Ambient,WHEA,R3,G-00,T90,2,5/22/23,60.05642687,
101,Drought,CLOV,R3,G-50,T1,2,5/22/23,59.99734177,
102,Drought,CLOV,R3,G-50,T90,2,5/22/23,59.97849254,
103,Drought,CLOV,R3,G-00,T1,2,5/22/23,60.00072497,
104,Drought,CLOV,R3,G-00,T90,2,5/22/23,60.02344071,
105,Drought,NONE,R3,G-50,T1,2,5/22/23,59.94623135,
106,Drought,NONE,R3,G-50,T90,2,5/22/23,59.97668011,
107,Drought,NONE,R3,G-00,T1,2,5/22/23,59.97909668,
108,Drought,NONE,R3,G-00,T90,2,5/22/23,60.09799185,
109,Drought,SHMX,R3,G-50,T1,2,5/22/23,60.07418865,
110,Drought,SHMX,R3,G-50,T90,2,5/22/23,59.70928681,
111,Drought,SHMX,R3,G-00,T1,2,5/22/23,60.07805516,
112,Drought,SHMX,R3,G-00,T90,2,5/22/23,60.13846937,
113,Drought,WHCL,R3,G-50,T1,2,5/22/23,59.90212898,
114,Drought,WHCL,R3,G-50,T90,2,5/22/23,60.02005752,
115,Drought,WHCL,R3,G-00,T1,2,5/22/23,60.07515528,
116,Drought,WHCL,R3,G-00,T90,2,5/22/23,60.00265823,
117,Drought,WHEA,R3,G-50,T1,2,5/22/23,60.08917138,
118,Drought,WHEA,R3,G-50,T90,2,5/22/23,60.11188712,
119,Drought,WHEA,R3,G-00,T1,2,5/22/23,59.75375167,
120,Drought,WHEA,R3,G-00,T90,2,5/22/23,60.04518983,
121,Ambient,CLOV,R4,G-50,T1,2,5/22/23,59.95166863,
122,Ambient,CLOV,R4,G-50,T90,2,5/22/23,60.04833137,
123,Ambient,CLOV,R4,G-00,T1,2,5/22/23,60.04833137,
124,Ambient,CLOV,R4,G-00,T90,2,5/22/23,59.95166863,
125,Ambient,NONE,R4,G-50,T1,2,5/22/23,60.03624853,
126,Ambient,NONE,R4,G-50,T90,2,5/22/23,59.98791716,
127,Ambient,NONE,R4,G-00,T1,2,5/22/23,60.03624853,
128,Ambient,NONE,R4,G-00,T90,2,5/22/23,59.93958579,
129,Ambient,SHMX,R4,G-50,T1,2,5/22/23,59.98791716,
130,Ambient,SHMX,R4,G-50,T90,2,5/22/23,60.03624853,
131,Ambient,SHMX,R4,G-00,T1,2,5/22/23,60.03624853,
132,Ambient,SHMX,R4,G-00,T90,2,5/22/23,59.93958579,
133,Ambient,WHCL,R4,G-50,T1,2,5/22/23,59.96375147,
134,Ambient,WHCL,R4,G-50,T90,2,5/22/23,60.06041421,
135,Ambient,WHCL,R4,G-00,T1,2,5/22/23,60.01208284,
136,Ambient,WHCL,R4,G-00,T90,2,5/22/23,59.96375147,
137,Ambient,WHEA,R4,G-50,T1,2,5/22/23,60.02416568,
138,Ambient,WHEA,R4,G-50,T90,2,5/22/23,59.97583432,
139,Ambient,WHEA,R4,G-00,T1,2,5/22/23,60.02416568,
140,Ambient,WHEA,R4,G-00,T90,2,5/22/23,59.97583432,
141,Drought,CLOV,R4,G-50,T1,2,5/22/23,60,
142,Drought,CLOV,R4,G-50,T90,2,5/22/23,60.04833137,
143,Drought,CLOV,R4,G-00,T1,2,5/22/23,60,
144,Drought,CLOV,R4,G-00,T90,2,5/22/23,59.95166863,
145,Drought,NONE,R4,G-50,T1,2,5/22/23,59.98791716,
146,Drought,NONE,R4,G-50,T90,2,5/22/23,60.03624853,
147,Drought,NONE,R4,G-00,T1,2,5/22/23,60.03624853,
148,Drought,NONE,R4,G-00,T90,2,5/22/23,59.93958579,
149,Drought,SHMX,R4,G-50,T1,2,5/22/23,59.86708873,
150,Drought,SHMX,R4,G-50,T90,2,5/22/23,60.01208284,
151,Drought,SHMX,R4,G-00,T1,2,5/22/23,60.06041421,
152,Drought,SHMX,R4,G-00,T90,2,5/22/23,60.06041421,
153,Drought,WHCL,R4,G-50,T1,2,5/22/23,60.07249705,
154,Drought,WHCL,R4,G-50,T90,2,5/22/23,60.07249705,
155,Drought,WHCL,R4,G-00,T1,2,5/22/23,59.73417747,
156,Drought,WHCL,R4,G-00,T90,2,5/22/23,60.12082842,
157,Drought,WHEA,R4,G-50,T1,2,5/22/23,59.95166863,
158,Drought,WHEA,R4,G-50,T90,2,5/22/23,60,
159,Drought,WHEA,R4,G-00,T1,2,5/22/23,60.04833137,
160,Drought,WHEA,R4,G-00,T90,2,5/22/23,60,
1,Ambient,CLOV,R1,G-50,T1,1,5/24/23,58.47709072,
2,Ambient,CLOV,R1,G-50,T90,1,5/24/23,58.52542209,
3,Ambient,CLOV,R1,G-00,T1,1,5/24/23,59.10539852,
4,Ambient,CLOV,R1,G-00,T90,1,5/24/23,58.47709072,
5,Ambient,NONE,R1,G-50,T1,1,5/24/23,59.20592777,
6,Ambient,NONE,R1,G-50,T90,1,5/24/23,59.20592777,
7,Ambient,NONE,R1,G-00,T1,1,5/24/23,59.25425914,
8,Ambient,NONE,R1,G-00,T90,1,5/24/23,59.20592777,
9,Ambient,SHMX,R1,G-50,T1,1,5/24/23,57.80335143,
10,Ambient,SHMX,R1,G-50,T90,1,5/24/23,58.19000238,
11,Ambient,SHMX,R1,G-00,T1,1,5/24/23,58.28666512,
12,Ambient,SHMX,R1,G-00,T90,1,5/24/23,58.33499649,
13,Ambient,WHCL,R1,G-50,T1,1,5/24/23,57.84781629,
14,Ambient,WHCL,R1,G-50,T90,1,5/24/23,57.75115355,
15,Ambient,WHCL,R1,G-00,T1,1,5/24/23,58.33112998,
16,Ambient,WHCL,R1,G-00,T90,1,5/24/23,58.04114176,
17,Ambient,WHEA,R1,G-50,T1,1,5/24/23,58.31276406,
18,Ambient,WHEA,R1,G-50,T90,1,5/24/23,58.07110721,
19,Ambient,WHEA,R1,G-00,T1,1,5/24/23,58.50608954,
20,Ambient,WHEA,R1,G-00,T90,1,5/24/23,58.60275228,
21,Drought,CLOV,R1,G-50,T1,1,5/24/23,57.89711428,
22,Drought,CLOV,R1,G-50,T90,1,5/24/23,57.89711428,
23,Drought,CLOV,R1,G-00,T1,1,5/24/23,57.94544565,
24,Drought,CLOV,R1,G-00,T90,1,5/24/23,57.99377702,
25,Drought,NONE,R1,G-50,T1,1,5/24/23,58.62595134,
26,Drought,NONE,R1,G-50,T90,1,5/24/23,58.57761997,
27,Drought,NONE,R1,G-00,T1,1,5/24/23,58.86760818,
28,Drought,NONE,R1,G-00,T90,1,5/24/23,58.72261408,
29,Drought,SHMX,R1,G-50,T1,1,5/24/23,57.80335143,
30,Drought,SHMX,R1,G-50,T90,1,5/24/23,57.9966769,
31,Drought,SHMX,R1,G-00,T1,1,5/24/23,57.9966769,
32,Drought,SHMX,R1,G-00,T90,1,5/24/23,58.14167101,
33,Drought,WHCL,R1,G-50,T1,1,5/24/23,57.89614765,
34,Drought,WHCL,R1,G-50,T90,1,5/24/23,57.36450259,
35,Drought,WHCL,R1,G-00,T1,1,5/24/23,57.99281039,
36,Drought,WHCL,R1,G-00,T90,1,5/24/23,57.21950848,
37,Drought,WHEA,R1,G-50,T1,1,5/24/23,57.9261131,
38,Drought,WHEA,R1,G-50,T90,1,5/24/23,57.781119,
39,Drought,WHEA,R1,G-00,T1,1,5/24/23,58.16776995,
40,Drought,WHEA,R1,G-00,T90,1,5/24/23,58.50608954,
41,Ambient,CLOV,R2,G-50,T1,1,5/24/23,58.71874757,
42,Ambient,CLOV,R2,G-50,T90,1,5/24/23,58.86374167,
43,Ambient,CLOV,R2,G-00,T1,1,5/24/23,58.71874757,
44,Ambient,CLOV,R2,G-00,T90,1,5/24/23,58.76707894,
45,Ambient,NONE,R2,G-50,T1,1,5/24/23,59.59257873,
46,Ambient,NONE,R2,G-50,T90,1,5/24/23,59.44758462,
47,Ambient,NONE,R2,G-00,T1,1,5/24/23,59.59257873,
48,Ambient,NONE,R2,G-00,T90,1,5/24/23,59.44758462,
49,Ambient,SHMX,R2,G-50,T1,1,5/24/23,58.43165923,
50,Ambient,SHMX,R2,G-50,T90,1,5/24/23,58.67331608,
51,Ambient,SHMX,R2,G-00,T1,1,5/24/23,58.57665334,
52,Ambient,SHMX,R2,G-00,T90,1,5/24/23,58.38332786,
53,Ambient,WHCL,R2,G-50,T1,1,5/24/23,58.42779272,
54,Ambient,WHCL,R2,G-50,T90,1,5/24/23,58.37946135,
55,Ambient,WHCL,R2,G-00,T1,1,5/24/23,58.47612409,
56,Ambient,WHCL,R2,G-00,T90,1,5/24/23,58.66944957,
57,Ambient,WHEA,R2,G-50,T1,1,5/24/23,58.50608954,
58,Ambient,WHEA,R2,G-50,T90,1,5/24/23,58.74774639,
59,Ambient,WHEA,R2,G-00,T1,1,5/24/23,58.55442091,
60,Ambient,WHEA,R2,G-00,T90,1,5/24/23,58.60275228,
61,Drought,CLOV,R2,G-50,T1,1,5/24/23,58.57375346,
62,Drought,CLOV,R2,G-50,T90,1,5/24/23,58.42875935,
63,Drought,CLOV,R2,G-00,T1,1,5/24/23,58.47709072,
